date,open,high,low,close,volume,average,barCount
2010-06-29,1.27,1.67,1.17,1.59,277519500.0,1.302866666666667,74008
2010-06-30,1.67,2.03,1.55,1.59,253039500.0,1.801333333333333,93539
2010-07-01,1.66,1.73,1.35,1.46,121461000.0,1.514,41469
2010-07-02,1.47,1.55,1.25,1.28,75871500.0,1.340133333333333,27025
2010-07-06,1.29,1.33,1.06,1.07,101664000.0,1.181,34311
2010-07-07,1.09,1.11,1.0,1.05,102645000.0,1.0478,34318
2010-07-08,1.06,1.18,1.04,1.16,114526500.0,1.105133333333333,38759
2010-07-09,1.18,1.19,1.1,1.16,60061500.0,1.151333333333333,18962
2010-07-12,1.2,1.2,1.13,1.14,31176000.0,1.165733333333333,11120
2010-07-13,1.15,1.24,1.13,1.21,39439500.0,1.1872,13285
2010-07-14,1.21,1.34,1.18,1.32,62097000.0,1.287933333333333,20965
2010-07-15,1.32,1.43,1.27,1.33,55222500.0,1.350066666666667,17730
2010-07-16,1.33,1.42,1.33,1.38,37939500.0,1.375533333333333,13061
2010-07-19,1.42,1.48,1.39,1.46,35004000.0,1.4518,9858
2010-07-20,1.47,1.49,1.33,1.35,26229000.0,1.3924,8401
2010-07-21,1.36,1.41,1.3,1.35,18214500.0,1.345866666666667,5286
2010-07-22,1.35,1.42,1.35,1.4,13924500.0,1.3962,3768
2010-07-23,1.42,1.44,1.4,1.42,9603000.0,1.421066666666667,3011
2010-07-26,1.43,1.43,1.35,1.4,13167000.0,1.396066666666667,4359
2010-07-27,1.4,1.41,1.35,1.37,8658000.0,1.376266666666667,2870
2010-07-28,1.37,1.39,1.37,1.38,6801000.0,1.381066666666667,2254
2010-07-29,1.38,1.39,1.33,1.36,8734500.0,1.346933333333333,2364
2010-07-30,1.36,1.36,1.3,1.33,6258000.0,1.329,2085
2010-08-02,1.37,1.4,1.36,1.39,10213500.0,1.3804,3347
2010-08-03,1.38,1.46,1.36,1.46,17827500.0,1.433866666666667,5911
2010-08-04,1.49,1.49,1.34,1.42,13594500.0,1.4228,3890
2010-08-05,1.4,1.44,1.34,1.36,11722500.0,1.368066666666667,3734
2010-08-06,1.34,1.35,1.3,1.31,10542000.0,1.3166,2985
2010-08-09,1.33,1.33,1.3,1.31,10440000.0,1.3092,3106
2010-08-10,1.31,1.31,1.25,1.27,17506500.0,1.2748,4299
2010-08-11,1.24,1.26,1.18,1.19,11340000.0,1.214266666666667,3839
2010-08-12,1.19,1.21,1.16,1.17,10168500.0,1.168333333333333,3250
2010-08-13,1.18,1.24,1.18,1.22,9385500.0,1.206533333333333,2566
2010-08-16,1.23,1.25,1.22,1.25,7134000.0,1.238066666666667,1932
2010-08-17,1.25,1.29,1.25,1.28,6597000.0,1.276,2048
2010-08-18,1.28,1.31,1.23,1.25,8905500.0,1.259866666666667,2791
2010-08-19,1.24,1.28,1.22,1.25,8290500.0,1.249533333333333,2683
2010-08-20,1.23,1.28,1.23,1.27,4381500.0,1.261333333333333,1348
2010-08-23,1.27,1.36,1.27,1.34,15978000.0,1.3166,4346
2010-08-24,1.33,1.33,1.26,1.28,9973500.0,1.285466666666667,2956
2010-08-25,1.27,1.33,1.24,1.33,7372500.0,1.282866666666667,2336
2010-08-26,1.32,1.35,1.31,1.32,6189000.0,1.3196,1700
2010-08-27,1.33,1.33,1.3,1.31,5628000.0,1.3134,2060
2010-08-30,1.31,1.35,1.31,1.32,10648500.0,1.328066666666667,3177
2010-08-31,1.29,1.32,1.29,1.3,2956500.0,1.303,1138
2010-09-01,1.31,1.38,1.31,1.36,7306500.0,1.342133333333333,2413
2010-09-02,1.36,1.42,1.35,1.4,7159500.0,1.388733333333333,2824
2010-09-03,1.41,1.43,1.38,1.4,6402000.0,1.4042,2389
2010-09-07,1.39,1.4,1.37,1.37,3612000.0,1.3786,1573
2010-09-08,1.37,1.4,1.37,1.39,4281000.0,1.385666666666667,1179
2010-09-09,1.4,1.4,1.33,1.38,5586000.0,1.387266666666667,1555
2010-09-10,1.38,1.4,1.32,1.34,5706000.0,1.353666666666667,2064
2010-09-13,1.39,1.39,1.37,1.38,5239500.0,1.3818,1875
2010-09-14,1.37,1.44,1.37,1.41,9564000.0,1.412733333333333,3357
2010-09-15,1.4,1.47,1.39,1.47,9990000.0,1.443533333333333,3665
2010-09-16,1.49,1.54,1.39,1.4,38347500.0,1.4666,13350
2010-09-17,1.42,1.42,1.32,1.35,17478000.0,1.346666666666667,5800
2010-09-20,1.38,1.42,1.34,1.4,13893000.0,1.392733333333333,5353
2010-09-21,1.42,1.44,1.38,1.38,11749500.0,1.410466666666667,4479
2010-09-22,1.39,1.4,1.32,1.32,13227000.0,1.3482,4780
2010-09-23,1.32,1.34,1.3,1.3,9856500.0,1.314666666666667,3596
2010-09-24,1.33,1.35,1.31,1.34,8590500.0,1.334266666666667,2862
2010-09-27,1.36,1.39,1.34,1.37,6106500.0,1.364066666666667,2261
2010-09-28,1.4,1.43,1.38,1.43,17905500.0,1.4096,6134
2010-09-29,1.37,1.47,1.37,1.47,27925500.0,1.4558,6996
2010-09-30,1.47,1.48,1.35,1.36,31186500.0,1.3844,7718
2010-10-01,1.39,1.42,1.35,1.37,7783500.0,1.370266666666667,3060
2010-10-04,1.36,1.41,1.35,1.4,9351000.0,1.387133333333333,3222
2010-10-05,1.41,1.42,1.4,1.41,4914000.0,1.4096,1552
2010-10-06,1.4,1.42,1.35,1.36,4617000.0,1.3722,1604
2010-10-07,1.37,1.38,1.35,1.36,2064000.0,1.361933333333333,727
2010-10-08,1.36,1.39,1.36,1.36,3973500.0,1.373333333333333,1484
2010-10-11,1.36,1.38,1.34,1.35,2475000.0,1.356666666666667,883
2010-10-12,1.35,1.35,1.34,1.35,3405000.0,1.342133333333333,1327
2010-10-13,1.35,1.42,1.35,1.37,4728000.0,1.371666666666667,1508
2010-10-14,1.43,1.43,1.36,1.38,4314000.0,1.3778,1580
2010-10-15,1.39,1.39,1.35,1.37,4189500.0,1.365666666666667,1706
2010-10-18,1.37,1.38,1.35,1.35,2341500.0,1.3596,849
2010-10-19,1.35,1.36,1.33,1.34,3601500.0,1.341066666666667,1063
2010-10-20,1.34,1.38,1.34,1.38,4608000.0,1.361666666666667,1395
2010-10-21,1.37,1.4,1.36,1.38,6166500.0,1.3804,1382
2010-10-22,1.38,1.4,1.37,1.38,2374500.0,1.382533333333333,724
2010-10-25,1.4,1.4,1.38,1.39,1722000.0,1.391466666666667,538
2010-10-26,1.39,1.46,1.37,1.42,9744000.0,1.4238,2781
2010-10-27,1.42,1.43,1.38,1.4,5272500.0,1.4,1498
2010-10-28,1.43,1.43,1.4,1.41,3303000.0,1.412066666666667,966
2010-10-29,1.43,1.46,1.4,1.46,4122000.0,1.433066666666667,1487
2010-11-01,1.46,1.52,1.42,1.43,6465000.0,1.458933333333333,2074
2010-11-02,1.44,1.47,1.4,1.42,4750500.0,1.416733333333333,1395
2010-11-03,1.42,1.5,1.41,1.45,5532000.0,1.4424,1762
2010-11-04,1.49,1.69,1.47,1.66,27123000.0,1.605,8353
2010-11-05,1.69,1.73,1.58,1.63,14683500.0,1.6218,4393
2010-11-08,1.63,1.67,1.6,1.67,7257000.0,1.635266666666667,2779
2010-11-09,1.67,1.71,1.6,1.64,12564000.0,1.654866666666667,4167
2010-11-10,1.59,2.0,1.59,1.96,44842500.0,1.839133333333333,14781
2010-11-11,1.91,1.94,1.82,1.87,28570500.0,1.890133333333333,11250
2010-11-12,1.86,2.03,1.85,1.99,40215000.0,1.971333333333333,12674
2010-11-15,2.01,2.2,2.01,2.05,38313000.0,2.104466666666667,13417
2010-11-16,2.07,2.09,1.89,1.98,19620000.0,1.972133333333333,6517
2010-11-17,1.99,2.05,1.91,1.97,10924500.0,1.973,3647
2010-11-18,2.0,2.05,1.93,1.99,14016000.0,1.9868,4961
2010-11-19,1.98,2.09,1.98,2.07,16891500.0,2.047266666666667,5536
2010-11-22,2.1,2.23,2.1,2.23,21612000.0,2.1812,7680
2010-11-23,2.2,2.38,2.15,2.3,23109000.0,2.3108,7621
2010-11-24,2.33,2.4,2.29,2.36,20898000.0,2.344933333333333,6724
2010-11-26,2.37,2.4,2.32,2.35,5007000.0,2.355666666666667,1837
2010-11-29,2.37,2.4,2.22,2.29,16740000.0,2.286933333333333,6419
2010-11-30,2.26,2.36,2.23,2.36,33087000.0,2.332,5646
2010-12-01,2.38,2.43,2.23,2.29,19087500.0,2.328933333333333,6808
2010-12-02,2.27,2.29,2.08,2.16,26610000.0,2.154666666666667,10052
2010-12-03,2.13,2.15,2.06,2.1,16156500.0,2.099733333333333,6169
2010-12-06,2.09,2.1,1.97,2.02,17736000.0,2.023866666666667,6282
2010-12-07,2.03,2.16,2.0,2.1,19209000.0,2.102666666666667,6274
2010-12-08,2.16,2.19,2.1,2.16,9672000.0,2.1472,3543
