date,open,high,low,close,volume,average,barCount
2008-03-19,14.88,17.25,13.75,14.13,708485600.0,14.125,1
2008-03-20,14.6,16.25,14.38,16.09,198984800.0,16.0875,1
2008-03-24,16.81,16.93,14.75,14.93,149694800.0,14.9325,1
2008-03-25,15.15,16.06,14.96,15.81,87164800.0,15.8125,1
2008-03-26,15.68,16.12,15.39,15.99,43139200.0,15.99,1
2008-03-27,16.01,16.18,15.66,15.73,39834800.0,15.7275,1
2008-03-28,15.84,15.86,15.54,15.69,24698000.0,15.69,1
2008-03-31,15.65,15.87,15.51,15.59,22170400.0,15.59,1
2008-04-01,15.77,15.92,15.08,15.4,60431600.0,15.4025,1
2008-04-02,15.43,15.58,15.13,15.58,43846400.0,15.58,1
2008-04-03,15.49,16.57,15.46,16.38,100867600.0,16.375,1
2008-04-04,16.23,16.33,15.94,16.12,36396000.0,16.12,1
2008-04-07,16.28,16.45,16.0,16.26,28313200.0,16.26,1
2008-04-08,16.23,17.06,16.2,17.02,53963600.0,17.0225,1
2008-04-09,17.11,17.18,16.4,16.45,48339600.0,16.4475,1
2008-04-10,16.54,16.68,16.28,16.53,22384800.0,16.5275,1
2008-04-11,16.31,16.69,16.31,16.53,26434400.0,16.5275,1
2008-04-14,16.68,16.81,16.38,16.42,28446000.0,16.42,1
2008-04-15,16.57,16.64,16.0,16.09,23903200.0,16.0875,1
2008-04-16,16.14,16.74,16.14,16.54,25148400.0,16.535,1
2008-04-17,16.57,16.94,16.5,16.76,22462000.0,16.76,1
2008-04-18,17.0,17.61,16.8,17.25,104122800.0,17.25,1
2008-04-21,17.37,18.13,17.21,17.74,58885200.0,17.7425,1
2008-04-22,17.98,18.1,17.5,17.57,47378000.0,17.57,1
2008-04-23,17.74,17.93,17.42,17.52,37336400.0,17.52,1
2008-04-24,17.8,18.25,17.51,18.08,39082400.0,18.075,1
2008-04-25,19.0,19.02,18.48,18.78,101459600.0,18.775,1
2008-04-28,19.13,19.32,18.73,18.91,132517200.0,18.9075,1
2008-04-29,18.54,20.22,17.75,20.22,197308000.0,20.22,1
2008-04-30,20.35,21.2,20.27,20.86,147543200.0,20.8625,1
2008-05-01,21.1,21.91,20.98,21.35,116395200.0,21.35,1
2008-05-02,21.82,21.88,20.25,20.69,136648400.0,20.6875,1
2008-05-05,20.71,21.38,20.21,21.27,70376800.0,21.265,1
2008-05-06,21.37,22.04,21.19,21.88,75912800.0,21.8825,1
2008-05-07,22.21,22.46,21.92,22.13,100464400.0,22.125,1
2008-05-08,22.38,22.44,21.49,21.83,92866400.0,21.825,1
2008-05-09,21.45,21.67,20.63,20.72,94311600.0,20.715,1
2008-05-12,20.91,21.12,19.53,20.48,147550800.0,20.475,1
2008-05-13,20.46,20.88,20.2,20.6,53271200.0,20.595,1
2008-05-14,20.83,21.09,20.36,20.56,51400000.0,20.5575,1
2008-05-15,20.63,20.73,20.28,20.56,36728000.0,20.5625,1
2008-05-16,20.68,20.71,20.32,20.59,34066400.0,20.5925,1
2008-05-19,20.57,21.18,20.54,20.83,45651200.0,20.83,1
2008-05-20,20.72,20.96,20.48,20.68,40706000.0,20.685,1
2008-05-21,20.67,20.86,20.13,20.21,41831200.0,20.2125,1
2008-05-22,20.14,20.15,19.04,19.33,85317200.0,19.3275,1
2008-05-23,18.96,19.33,18.78,19.09,42223600.0,19.0875,1
2008-05-27,19.23,19.74,18.59,19.68,62814400.0,19.685,1
2008-05-28,20.07,20.49,19.89,20.48,53034400.0,20.48,1
2008-05-29,20.86,21.74,20.75,21.31,100612800.0,21.3125,1
2008-05-30,21.5,21.89,21.45,21.59,72048000.0,21.59,1
2008-06-02,21.55,21.74,21.15,21.52,36855600.0,21.5175,1
2008-06-03,21.75,21.99,21.51,21.89,48484000.0,21.89,1
