date,open,high,low,close,volume,average,barCount
2004-08-23,17.94,17.99,17.75,17.94,32713800.0,17.86366666666667,9337
2004-08-24,17.98,18.06,17.88,17.95,19429500.0,17.97233333333333,6349
2004-08-25,17.98,18.1,17.86,18.03,21166500.0,17.98566666666667,6834
2004-08-26,18.0,18.1,17.94,17.97,13773900.0,18.002,5715
2004-08-27,17.94,18.01,17.84,17.86,13045800.0,17.89966666666667,5206
2004-08-30,17.85,17.94,17.72,17.74,14223300.0,17.82866666666667,5838
2004-08-31,17.74,17.87,17.48,17.56,22333800.0,17.60066666666667,7511
2004-09-01,17.49,17.65,17.38,17.55,21434400.0,17.48533333333333,8220
2004-09-02,17.37,17.73,17.37,17.69,35811300.0,17.56333333333333,7826
2004-09-03,17.75,17.99,17.7,17.75,21916800.0,17.84933333333333,6745
2004-09-07,17.72,17.81,17.54,17.76,26025300.0,17.66766666666667,8400
2004-09-08,17.68,17.85,17.67,17.7,21199500.0,17.768,8167
2004-09-09,17.69,17.78,17.5,17.52,24967200.0,17.55733333333333,8648
2004-09-10,17.5,17.86,17.42,17.81,26624100.0,17.628,7717
2004-09-13,17.87,17.97,17.72,17.79,23231700.0,17.839,7570
2004-09-14,17.85,17.87,17.7,17.74,20089200.0,17.77966666666667,6548
2004-09-15,17.75,17.78,17.2,17.63,19587900.0,17.64733333333333,6716
2004-09-16,17.6,17.69,17.5,17.6,28599900.0,17.58133333333333,6940
2004-09-17,17.59,17.66,17.38,17.5,38664000.0,17.52833333333333,7833
2004-09-20,17.38,17.45,17.34,17.39,24473700.0,17.37433333333333,8197
2004-09-21,17.54,17.6,17.4,17.42,29655000.0,17.49533333333333,8088
2004-09-22,17.34,17.39,17.19,17.22,31121400.0,17.29766666666667,8911
2004-09-23,17.42,17.63,17.03,17.5,38245800.0,17.494,9068
2004-09-24,17.58,17.75,17.52,17.6,23167200.0,17.638,6924
2004-09-27,17.67,17.78,17.5,17.51,25225200.0,17.63966666666667,8457
2004-09-28,17.57,17.63,17.4,17.6,24343800.0,17.53033333333333,8500
2004-09-29,17.53,17.68,17.43,17.66,34936800.0,17.54966666666667,9767
2004-09-30,17.54,17.82,17.54,17.73,31351200.0,17.681,8577
2004-10-01,17.83,17.92,17.64,17.71,25983900.0,17.777,7922
2004-10-04,17.85,17.99,17.77,17.77,24872100.0,17.89133333333333,7838
2004-10-05,17.73,17.87,17.64,17.8,27435900.0,17.74666666666667,8364
