date,open,high,low,close,volume,average,barCount
2004-08-23,45.45,45.55,44.85,44.98,7996100.0,45.15,7740
2004-08-24,44.99,44.99,44.25,44.85,8865300.0,44.746,7473
2004-08-25,44.96,45.19,44.9,45.19,8372400.0,45.056,7181
2004-08-26,45.0,45.39,44.93,45.28,7923000.0,45.14,6690
2004-08-27,45.37,45.58,45.35,45.45,5878600.0,45.459,5499
2004-08-30,45.35,45.69,45.09,45.13,6684800.0,45.322,6667
2004-08-31,45.24,46.12,45.24,46.11,9684500.0,45.707,7263
2004-09-01,46.2,46.55,46.03,46.46,10161700.0,46.388,8186
2004-09-02,46.71,46.99,46.45,46.98,8745500.0,46.701,6449
2004-09-03,46.98,47.24,46.88,47.09,8822700.0,47.029,7303
2004-09-07,47.07,47.25,46.65,47.16,11332800.0,46.993,8763
2004-09-08,47.0,47.23,46.95,47.1,8274300.0,47.107,7626
2004-09-09,47.21,47.55,47.1,47.47,9624100.0,47.362,8193
2004-09-10,47.59,47.64,47.12,47.37,7886600.0,47.415,6995
2004-09-13,47.53,47.68,47.37,47.5,7384000.0,47.509,7006
2004-09-14,47.63,47.78,47.38,47.5,7909400.0,47.583,7067
2004-09-15,47.55,47.76,47.36,47.46,8785600.0,47.546,7011
2004-09-16,47.31,47.59,47.3,47.52,6220300.0,47.43,5614
2004-09-17,47.78,48.56,47.72,48.37,14355200.0,48.091,8275
2004-09-20,48.38,48.62,48.12,48.21,9445600.0,48.403,7493
2004-09-21,48.5,49.62,48.49,49.47,14323900.0,49.113,9239
2004-09-22,49.2,49.22,48.71,48.87,12123500.0,48.864,9076
2004-09-23,48.1,48.36,47.68,47.79,14728000.0,47.949,11318
2004-09-24,47.65,48.03,47.6,47.84,10882100.0,47.861,8260
2004-09-27,47.65,48.27,47.65,47.97,9589800.0,48.033,7865
2004-09-28,48.15,48.77,48.13,48.5,11226200.0,48.416,9057
2004-09-29,48.42,49.79,47.61,48.01,12243200.0,47.917,9435
2004-09-30,48.15,48.38,47.99,48.3,9549800.0,48.2,7967
2004-10-01,48.45,48.96,48.36,48.88,9439700.0,48.719,7611
2004-10-04,48.75,49.45,48.52,48.93,11274400.0,49.036,9016
2004-10-05,49.12,49.52,49.1,49.32,9713900.0,49.35,8142
2004-10-06,49.35,50.03,48.4,50.03,11402200.0,49.858,9550
2004-10-07,49.33,50.46,49.33,49.68,9335300.0,49.967,8723
2004-10-08,49.8,50.24,49.74,49.84,9120600.0,49.968,7858
2004-10-11,50.0,50.04,49.41,49.82,6139700.0,49.739,6621
2004-10-12,49.55,49.93,49.33,49.39,8538200.0,49.562,8122
2004-10-13,48.95,48.96,48.18,48.53,12921100.0,48.508,11088
2004-10-14,48.54,49.13,48.53,48.73,10165600.0,48.9,9206
2004-10-15,48.95,49.2,48.65,49.03,9531000.0,48.95,7400
2004-10-18,48.8,49.16,48.7,48.77,8005900.0,48.892,7623
2004-10-19,48.5,48.84,48.23,48.34,9443400.0,48.534,8161
2004-10-20,48.3,48.98,48.25,48.86,9530200.0,48.698,8745
2004-10-21,48.85,49.09,48.5,48.81,9065200.0,48.81,8786
2004-10-22,48.89,49.3,48.63,48.68,7894300.0,48.98,7124
