date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,26.28,26.5,26.23,26.5,533400.0,26.421,151
2004-08-24 14:00:00,26.5,26.68,26.42,26.43,252700.0,26.512,341
2004-08-24 15:00:00,26.44,26.47,26.29,26.32,382100.0,26.423,271
2004-08-24 16:00:00,26.32,26.44,26.21,26.26,297500.0,26.311,297
2004-08-24 17:00:00,26.25,26.38,26.18,26.26,211300.0,26.263,252
2004-08-24 18:00:00,26.26,26.27,26.15,26.17,145500.0,26.223,207
2004-08-24 19:00:00,26.19,26.22,26.02,26.13,514500.0,26.1,370
2004-08-25 13:30:00,26.05,26.18,25.84,26.06,305200.0,26.003,152
2004-08-25 14:00:00,26.06,26.19,26.0,26.02,263600.0,26.08,275
2004-08-25 15:00:00,26.0,26.05,25.95,26.0,164200.0,26.006,194
2004-08-25 16:00:00,26.01,26.15,25.98,26.12,511400.0,26.019,295
2004-08-25 17:00:00,26.12,26.14,26.02,26.04,172500.0,26.076,148
2004-08-25 18:00:00,26.05,26.16,26.02,26.15,245400.0,26.091,215
2004-08-25 19:00:00,26.15,26.25,26.07,26.19,382400.0,26.155,428
2004-08-26 13:30:00,26.29,26.55,26.19,26.49,189100.0,26.448,147
2004-08-26 14:00:00,26.42,26.48,26.04,26.08,272700.0,26.331,218
2004-08-26 15:00:00,26.05,26.09,26.01,26.05,342600.0,26.037,283
2004-08-26 16:00:00,26.05,26.08,25.82,25.87,228700.0,25.931,218
2004-08-26 17:00:00,25.88,26.04,25.87,26.03,189600.0,25.948,218
2004-08-26 18:00:00,26.03,26.03,25.82,25.9,347600.0,25.894,284
2004-08-26 19:00:00,25.89,25.9,25.69,25.78,648800.0,25.788,526
2004-08-27 13:30:00,25.78,25.84,25.63,25.78,173100.0,25.735,142
2004-08-27 14:00:00,25.79,25.8,25.6,25.63,305700.0,25.714,256
2004-08-27 15:00:00,25.62,25.68,25.59,25.67,179500.0,25.656,209
2004-08-27 16:00:00,25.67,25.81,25.64,25.79,123700.0,25.697,184
2004-08-27 17:00:00,25.79,25.85,25.78,25.84,288900.0,25.822,184
2004-08-27 18:00:00,25.84,25.95,25.81,25.94,199800.0,25.866,186
2004-08-27 19:00:00,25.93,25.97,25.86,25.92,130300.0,25.905,218
2004-08-30 13:30:00,25.7,25.77,25.65,25.76,130500.0,25.721,136
2004-08-30 14:00:00,25.76,25.79,25.62,25.65,173100.0,25.706,255
2004-08-30 15:00:00,25.65,25.77,25.64,25.75,126500.0,25.682,203
2004-08-30 16:00:00,25.76,25.82,25.72,25.77,86200.0,25.769,171
2004-08-30 17:00:00,25.78,25.83,25.71,25.74,54300.0,25.761,162
2004-08-30 18:00:00,25.74,25.92,25.73,25.84,124000.0,25.836,202
2004-08-30 19:00:00,25.84,25.84,25.7,25.71,148900.0,25.768,249
2004-08-31 13:30:00,25.68,25.88,25.6,25.76,145800.0,25.748,132
2004-08-31 14:00:00,25.75,25.99,25.75,25.99,167300.0,25.859,169
2004-08-31 15:00:00,25.99,26.05,25.93,25.94,240800.0,25.989,222
2004-08-31 16:00:00,25.93,26.05,25.9,25.96,116600.0,25.953,156
2004-08-31 17:00:00,25.95,26.02,25.94,26.02,152300.0,25.985,176
2004-08-31 18:00:00,26.02,26.11,25.98,26.05,277600.0,26.019,230
2004-08-31 19:00:00,26.05,26.25,26.04,26.09,461600.0,26.141,368
2004-09-01 13:30:00,26.15,26.3,26.12,26.16,94200.0,26.176,146
2004-09-01 14:00:00,26.16,26.48,26.16,26.25,280700.0,26.373,251
2004-09-01 15:00:00,26.3,26.45,26.29,26.31,202900.0,26.337,247
2004-09-01 16:00:00,26.32,26.57,26.31,26.53,243500.0,26.443,273
2004-09-01 17:00:00,26.53,26.67,26.5,26.59,242600.0,26.588,323
2004-09-01 18:00:00,26.58,26.59,26.46,26.47,320900.0,26.506,211
2004-09-01 19:00:00,26.46,26.52,26.43,26.5,222200.0,26.476,325
2004-09-02 13:30:00,26.37,26.49,26.37,26.48,227800.0,26.446,130
2004-09-02 14:00:00,26.48,26.63,26.48,26.61,130900.0,26.567,239
2004-09-02 15:00:00,26.61,26.62,26.37,26.37,143000.0,26.539,233
2004-09-02 16:00:00,26.35,26.5,26.33,26.37,206700.0,26.397,272
2004-09-02 17:00:00,26.36,26.38,26.12,26.2,104800.0,26.252,222
2004-09-02 18:00:00,26.2,26.37,26.16,26.35,206600.0,26.307,251
2004-09-02 19:00:00,26.35,26.42,26.3,26.36,337300.0,26.379,283
2004-09-03 13:30:00,26.07,26.25,26.07,26.23,184600.0,26.144,156
2004-09-03 14:00:00,26.24,26.29,26.15,26.25,190400.0,26.242,259
2004-09-03 15:00:00,26.25,26.25,26.03,26.03,238600.0,26.083,243
2004-09-03 16:00:00,26.03,26.05,25.9,25.94,289300.0,25.971,198
2004-09-03 17:00:00,25.93,26.0,25.85,25.97,99700.0,25.917,125
2004-09-03 18:00:00,25.97,25.99,25.93,25.95,74300.0,25.956,164
2004-09-03 19:00:00,25.95,25.97,25.9,25.9,617300.0,25.931,316
2004-09-07 13:30:00,25.86,26.09,25.86,25.91,180300.0,25.962,180
2004-09-07 14:00:00,25.91,26.09,25.91,26.02,399000.0,25.99,259
2004-09-07 15:00:00,26.02,26.09,25.99,26.09,432200.0,26.016,208
2004-09-07 16:00:00,26.1,26.26,26.07,26.24,313500.0,26.222,225
2004-09-07 17:00:00,26.23,26.3,26.23,26.24,145300.0,26.268,232
2004-09-07 18:00:00,26.24,26.25,26.0,26.12,147800.0,26.142,197
2004-09-07 19:00:00,26.08,26.23,26.05,26.18,235300.0,26.153,318
2004-09-08 13:30:00,26.38,26.47,26.3,26.38,169900.0,26.384,135
2004-09-08 14:00:00,26.37,26.66,26.35,26.61,767700.0,26.574,303
2004-09-08 15:00:00,26.61,26.69,26.6,26.6,478600.0,26.637,354
2004-09-08 16:00:00,26.6,26.62,26.56,26.58,347700.0,26.601,234
2004-09-08 17:00:00,26.58,26.63,26.58,26.59,239200.0,26.609,186
2004-09-08 18:00:00,26.59,26.61,26.59,26.6,337900.0,26.599,158
2004-09-08 19:00:00,26.59,26.59,26.44,26.46,584100.0,26.484,285
2004-09-09 13:30:00,26.37,26.41,26.28,26.32,215000.0,26.347,115
2004-09-09 14:00:00,26.31,26.42,26.26,26.4,211200.0,26.37,197
2004-09-09 15:00:00,26.4,26.63,26.38,26.63,191000.0,26.517,248
2004-09-09 16:00:00,26.63,26.69,26.53,26.59,91600.0,26.614,230
2004-09-09 17:00:00,26.6,26.68,26.57,26.61,159000.0,26.625,228
2004-09-09 18:00:00,26.61,26.74,26.59,26.74,265500.0,26.673,244
2004-09-09 19:00:00,26.74,26.77,26.51,26.59,418100.0,26.696,333
2004-09-10 13:30:00,26.65,26.75,26.55,26.63,117500.0,26.633,117
2004-09-10 14:00:00,26.65,26.78,26.61,26.63,145500.0,26.717,195
2004-09-10 15:00:00,26.63,26.67,26.53,26.54,80900.0,26.607,138
2004-09-10 16:00:00,26.54,26.65,26.54,26.59,166400.0,26.604,123
2004-09-10 17:00:00,26.58,26.61,26.51,26.52,233600.0,26.59,104
2004-09-10 18:00:00,26.52,26.64,26.47,26.62,128200.0,26.553,199
2004-09-10 19:00:00,26.62,26.77,26.59,26.75,386300.0,26.709,289
2004-09-13 13:30:00,26.78,26.78,26.54,26.67,143800.0,26.662,148
2004-09-13 14:00:00,26.68,26.68,26.53,26.65,197900.0,26.6,254
2004-09-13 15:00:00,26.65,26.68,26.59,26.66,126900.0,26.643,215
2004-09-13 16:00:00,26.66,26.68,26.61,26.65,141800.0,26.653,200
2004-09-13 17:00:00,26.64,26.66,26.57,26.6,157500.0,26.613,192
2004-09-13 18:00:00,26.6,26.65,26.52,26.57,201000.0,26.583,195
2004-09-13 19:00:00,26.57,26.57,26.32,26.39,507700.0,26.416,374
2004-09-14 13:30:00,26.35,26.44,26.33,26.39,136800.0,26.402,173
2004-09-14 14:00:00,26.37,26.56,26.36,26.56,181000.0,26.458,286
2004-09-14 15:00:00,26.52,26.75,26.47,26.74,168100.0,26.58,223
2004-09-14 16:00:00,26.75,26.78,26.66,26.7,124800.0,26.731,186
2004-09-14 17:00:00,26.7,26.71,26.6,26.7,191100.0,26.663,186
2004-09-14 18:00:00,26.71,26.85,26.7,26.78,359000.0,26.804,228
2004-09-14 19:00:00,26.79,26.86,26.67,26.72,315800.0,26.768,293
2004-09-15 13:30:00,26.4,26.48,26.05,26.29,261300.0,26.324,212
2004-09-15 14:00:00,26.31,26.4,26.23,26.4,193600.0,26.339,254
2004-09-15 15:00:00,26.39,26.39,26.26,26.34,233700.0,26.334,221
2004-09-15 16:00:00,26.33,26.33,26.19,26.27,151900.0,26.277,195
2004-09-15 17:00:00,26.27,26.32,26.22,26.25,115900.0,26.274,151
2004-09-15 18:00:00,26.25,26.42,26.18,26.32,444500.0,26.297,282
2004-09-15 19:00:00,26.32,26.75,26.31,26.61,819600.0,26.549,404
2004-09-16 13:30:00,26.62,26.75,26.62,26.74,179100.0,26.708,118
2004-09-16 14:00:00,26.75,27.12,26.75,27.1,774600.0,26.994,337
2004-09-16 15:00:00,27.09,27.17,27.08,27.12,202900.0,27.126,361
2004-09-16 16:00:00,27.11,27.12,27.0,27.09,290600.0,27.047,303
2004-09-16 17:00:00,27.09,27.12,26.98,27.09,359100.0,27.048,268
2004-09-16 18:00:00,27.09,27.15,27.09,27.11,183900.0,27.114,342
2004-09-16 19:00:00,27.11,27.11,26.98,27.0,511000.0,27.031,316
2004-09-17 13:30:00,26.97,27.11,26.78,26.87,197200.0,26.909,140
2004-09-17 14:00:00,26.87,26.88,26.78,26.84,277400.0,26.826,206
2004-09-17 15:00:00,26.85,26.89,26.78,26.86,263000.0,26.833,175
2004-09-17 16:00:00,26.85,26.89,26.73,26.77,143800.0,26.787,166
2004-09-17 17:00:00,26.77,26.8,26.68,26.8,82300.0,26.744,145
2004-09-17 18:00:00,26.8,26.82,26.76,26.79,124500.0,26.794,179
2004-09-17 19:00:00,26.8,26.8,26.65,26.69,443500.0,26.717,239
2004-09-20 13:30:00,26.5,26.75,26.41,26.75,98100.0,26.583,149
2004-09-20 14:00:00,26.77,26.83,26.48,26.52,346900.0,26.63,431
2004-09-20 15:00:00,26.52,26.75,26.52,26.69,202400.0,26.643,234
2004-09-20 16:00:00,26.69,26.8,26.67,26.74,146500.0,26.734,199
2004-09-20 17:00:00,26.74,26.74,26.65,26.67,90200.0,26.715,180
2004-09-20 18:00:00,26.67,26.77,26.64,26.71,102500.0,26.689,208
2004-09-20 19:00:00,26.71,26.82,26.69,26.81,468500.0,26.762,317
2004-09-21 13:30:00,26.7,26.93,26.66,26.81,85800.0,26.769,113
2004-09-21 14:00:00,26.82,26.97,26.81,26.97,114300.0,26.899,140
2004-09-21 15:00:00,26.97,27.04,26.91,26.92,269600.0,26.98,175
2004-09-21 16:00:00,26.92,26.98,26.86,26.93,112700.0,26.933,139
2004-09-21 17:00:00,26.93,27.0,26.91,27.0,160900.0,26.975,121
2004-09-21 18:00:00,27.0,27.05,26.96,27.04,276700.0,26.999,120
2004-09-21 19:00:00,27.04,27.09,26.99,27.02,384800.0,27.033,257
2004-09-22 13:30:00,26.9,26.98,26.68,26.73,112000.0,26.846,132
2004-09-22 14:00:00,26.77,26.78,26.64,26.64,93000.0,26.688,174
2004-09-22 15:00:00,26.65,26.74,26.6,26.66,73700.0,26.678,181
2004-09-22 16:00:00,26.66,26.92,26.66,26.89,160000.0,26.797,286
2004-09-22 17:00:00,26.88,27.08,26.84,27.04,177700.0,26.981,410
2004-09-22 18:00:00,27.03,27.09,26.97,27.02,258000.0,27.024,446
2004-09-22 19:00:00,27.0,27.05,26.89,26.9,544700.0,26.953,469
2004-09-23 13:30:00,26.75,26.88,26.67,26.82,127300.0,26.783,112
2004-09-23 14:00:00,26.82,26.98,26.77,26.96,176400.0,26.867,256
2004-09-23 15:00:00,26.95,27.03,26.9,26.92,139700.0,26.969,210
2004-09-23 16:00:00,26.9,26.98,26.89,26.97,91200.0,26.945,213
2004-09-23 17:00:00,26.97,27.03,26.95,27.03,90500.0,26.981,167
2004-09-23 18:00:00,27.03,27.11,26.99,27.11,190800.0,27.07,236
2004-09-23 19:00:00,27.09,27.09,26.89,26.9,267200.0,26.953,296
2004-09-24 13:30:00,26.75,26.92,26.75,26.87,109100.0,26.816,120
2004-09-24 14:00:00,26.86,26.98,26.81,26.96,147700.0,26.924,244
2004-09-24 15:00:00,26.95,27.03,26.94,26.97,137400.0,26.97,212
2004-09-24 16:00:00,26.99,27.04,26.95,27.0,120400.0,26.989,179
2004-09-24 17:00:00,27.0,27.0,26.85,26.86,253400.0,26.958,174
2004-09-24 18:00:00,26.9,26.9,26.75,26.82,290800.0,26.806,222
2004-09-24 19:00:00,26.83,26.85,26.75,26.82,247800.0,26.802,270
2004-09-27 13:30:00,26.7,26.71,26.5,26.7,269300.0,26.655,137
2004-09-27 14:00:00,26.7,26.72,26.66,26.68,272300.0,26.686,145
2004-09-27 15:00:00,26.68,26.7,26.64,26.64,217600.0,26.673,158
2004-09-27 16:00:00,26.65,26.72,26.63,26.72,328100.0,26.679,148
2004-09-27 17:00:00,26.72,26.72,26.64,26.65,88200.0,26.676,135
2004-09-27 18:00:00,26.66,26.68,26.6,26.67,124200.0,26.644,151
2004-09-27 19:00:00,26.66,26.7,26.61,26.66,180800.0,26.655,352
2004-09-28 13:30:00,26.7,26.83,26.7,26.75,290400.0,26.746,121
2004-09-28 14:00:00,26.75,26.84,26.71,26.79,361300.0,26.761,224
2004-09-28 15:00:00,26.79,26.88,26.72,26.78,460300.0,26.8,176
2004-09-28 16:00:00,26.79,26.79,26.7,26.71,103700.0,26.738,151
2004-09-28 17:00:00,26.71,26.78,26.69,26.71,136600.0,26.723,180
2004-09-28 18:00:00,26.71,26.83,26.7,26.77,544600.0,26.79,210
2004-09-28 19:00:00,26.76,26.76,26.64,26.68,949200.0,26.689,280
2004-09-29 13:30:00,26.52,26.69,26.44,26.68,174700.0,26.578,142
2004-09-29 14:00:00,26.68,26.72,26.54,26.66,114900.0,26.632,156
2004-09-29 15:00:00,26.65,26.65,26.58,26.63,207100.0,26.609,174
2004-09-29 16:00:00,26.62,26.69,26.55,26.69,129100.0,26.613,115
2004-09-29 17:00:00,26.65,26.76,26.65,26.73,81500.0,26.705,106
2004-09-29 18:00:00,26.71,26.77,26.71,26.72,134400.0,26.734,185
2004-09-29 19:00:00,26.73,27.07,26.72,26.99,699600.0,26.923,400
2004-09-30 13:30:00,27.04,27.1,27.02,27.07,648600.0,27.05,178
2004-09-30 14:00:00,27.07,27.2,26.97,27.18,405900.0,27.1,427
2004-09-30 15:00:00,27.18,27.25,27.15,27.16,198000.0,27.195,300
2004-09-30 16:00:00,27.16,27.16,26.96,27.1,191200.0,27.053,278
2004-09-30 17:00:00,27.1,27.19,27.06,27.18,173800.0,27.116,273
2004-09-30 18:00:00,27.19,27.25,27.14,27.25,227800.0,27.204,302
2004-09-30 19:00:00,27.24,27.25,27.01,27.09,397000.0,27.125,468
2004-10-01 13:30:00,27.02,27.19,26.95,27.18,260400.0,27.007,138
2004-10-01 14:00:00,27.22,27.37,27.07,27.27,244300.0,27.269,238
2004-10-01 15:00:00,27.28,27.47,27.26,27.37,183700.0,27.365,256
2004-10-01 16:00:00,27.36,27.43,27.34,27.4,135500.0,27.389,170
2004-10-01 17:00:00,27.4,27.43,27.32,27.37,161300.0,27.376,199
2004-10-01 18:00:00,27.38,27.38,27.25,27.32,256400.0,27.311,272
2004-10-01 19:00:00,27.33,27.34,27.2,27.24,609500.0,27.249,328
2004-10-04 13:30:00,26.3,27.5,26.3,27.5,249100.0,27.472,187
2004-10-04 14:00:00,27.49,27.58,27.41,27.45,614900.0,27.468,420
2004-10-04 15:00:00,27.46,27.51,27.41,27.46,577800.0,27.456,337
2004-10-04 16:00:00,27.46,27.47,27.42,27.43,222600.0,27.452,263
2004-10-04 17:00:00,27.45,27.46,27.39,27.39,305700.0,27.421,284
2004-10-04 18:00:00,27.4,27.46,27.38,27.45,236600.0,27.421,253
2004-10-04 19:00:00,27.45,27.47,27.38,27.4,587400.0,27.436,344
2004-10-05 13:30:00,27.25,27.4,27.05,27.35,377400.0,27.211,220
2004-10-05 14:00:00,27.35,27.35,27.08,27.09,361000.0,27.156,362
2004-10-05 15:00:00,27.08,27.08,26.97,26.99,326000.0,27.029,247
2004-10-05 16:00:00,26.99,27.02,26.98,26.99,258300.0,26.998,206
2004-10-05 17:00:00,26.98,27.05,26.97,26.99,283300.0,26.994,251
2004-10-05 18:00:00,26.98,27.04,26.91,27.0,374700.0,26.967,270
2004-10-05 19:00:00,27.0,27.0,26.9,26.95,325700.0,26.963,284
2004-10-06 13:30:00,27.17,27.17,26.74,26.79,268900.0,26.826,164
2004-10-06 14:00:00,26.79,26.94,26.71,26.92,270800.0,26.859,285
2004-10-06 15:00:00,26.91,26.99,26.9,26.95,318300.0,26.961,238
2004-10-06 16:00:00,26.94,26.95,26.86,26.87,139800.0,26.903,206
2004-10-06 17:00:00,26.87,26.9,26.82,26.86,98500.0,26.869,174
2004-10-06 18:00:00,26.86,26.9,26.82,26.86,147600.0,26.878,191
2004-10-06 19:00:00,26.86,27.0,26.85,26.98,329300.0,26.933,250
2004-10-07 13:30:00,26.85,27.0,26.6,26.64,117600.0,26.729,113
2004-10-07 14:00:00,26.62,26.83,26.58,26.74,263500.0,26.729,319
2004-10-07 15:00:00,26.73,26.76,26.65,26.71,211100.0,26.708,303
2004-10-07 16:00:00,26.7,26.75,26.66,26.69,77200.0,26.701,166
2004-10-07 17:00:00,26.7,26.75,26.69,26.71,91200.0,26.732,154
2004-10-07 18:00:00,26.71,26.8,26.7,26.79,116700.0,26.74,180
2004-10-07 19:00:00,26.79,26.79,26.69,26.69,289300.0,26.739,262
2004-10-08 13:30:00,26.69,26.77,26.6,26.74,161500.0,26.705,122
2004-10-08 14:00:00,26.74,26.74,26.6,26.61,202100.0,26.667,194
2004-10-08 15:00:00,26.6,26.68,26.55,26.6,100800.0,26.604,211
2004-10-08 16:00:00,26.61,26.72,26.57,26.68,75500.0,26.632,162
2004-10-08 17:00:00,26.68,26.77,26.66,26.7,122800.0,26.704,153
2004-10-08 18:00:00,26.7,26.7,26.58,26.6,170300.0,26.613,170
2004-10-08 19:00:00,26.6,26.77,26.56,26.76,348200.0,26.682,302
2004-10-11 13:30:00,26.8,27.0,26.57,26.57,142600.0,26.806,155
2004-10-11 14:00:00,26.58,26.73,26.52,26.7,185700.0,26.62,219
2004-10-11 15:00:00,26.7,26.94,26.7,26.91,141600.0,26.819,238
2004-10-11 16:00:00,26.91,27.05,26.91,26.96,422900.0,26.991,229
2004-10-11 17:00:00,26.96,26.98,26.88,26.94,146700.0,26.936,202
2004-10-11 18:00:00,26.94,27.05,26.94,27.0,320200.0,26.986,161
2004-10-11 19:00:00,27.0,27.04,26.89,26.91,227300.0,26.968,235
2004-10-12 13:30:00,26.8,26.84,26.62,26.64,306500.0,26.693,176
2004-10-12 14:00:00,26.64,26.75,26.42,26.73,589900.0,26.591,276
2004-10-12 15:00:00,26.73,26.85,26.69,26.76,334200.0,26.774,208
2004-10-12 16:00:00,26.76,27.03,26.73,26.97,727000.0,26.913,184
2004-10-12 17:00:00,26.98,27.01,26.9,27.0,164900.0,26.977,181
2004-10-12 18:00:00,27.0,27.0,26.73,26.75,197100.0,26.867,236
2004-10-12 19:00:00,26.75,26.78,26.4,26.54,1114100.0,26.686,464
2004-10-13 13:30:00,24.2,24.2,22.9,23.0,5203600.0,23.42,1198
2004-10-13 14:00:00,23.01,23.71,22.61,23.69,8179700.0,23.285,1882
2004-10-13 15:00:00,23.69,23.74,23.15,23.55,3389700.0,23.44,857
2004-10-13 16:00:00,23.55,23.86,23.46,23.7,3788000.0,23.732,645
2004-10-13 17:00:00,23.7,23.99,23.7,23.88,2934800.0,23.85,628
2004-10-13 18:00:00,23.86,24.0,23.85,23.95,1296000.0,23.934,490
2004-10-13 19:00:00,23.96,24.0,23.72,23.91,2642900.0,23.9,747
2004-10-14 13:30:00,24.15,24.28,24.1,24.25,1000500.0,24.199,365
2004-10-14 14:00:00,24.24,24.37,24.15,24.2,1860100.0,24.283,652
2004-10-14 15:00:00,24.2,24.22,23.94,23.95,2103000.0,24.043,419
2004-10-14 16:00:00,23.96,24.01,23.9,23.94,652800.0,23.961,281
2004-10-14 17:00:00,23.95,23.99,23.85,23.89,751000.0,23.918,292
2004-10-14 18:00:00,23.9,23.95,23.72,23.83,713100.0,23.793,321
2004-10-14 19:00:00,23.83,23.83,23.5,23.52,2830800.0,23.607,425
2004-10-15 13:30:00,23.45,23.61,23.15,23.32,1064100.0,23.367,320
2004-10-15 14:00:00,23.32,23.52,23.31,23.5,936900.0,23.402,420
2004-10-15 15:00:00,23.45,23.6,23.45,23.55,342200.0,23.512,298
2004-10-15 16:00:00,23.53,23.59,23.47,23.47,372800.0,23.512,264
2004-10-15 17:00:00,23.45,23.69,23.42,23.62,1014400.0,23.496,288
2004-10-15 18:00:00,23.62,23.8,23.62,23.7,409900.0,23.725,365
2004-10-15 19:00:00,23.7,23.82,23.49,23.51,1038400.0,23.695,443
2004-10-18 13:30:00,23.41,23.6,23.32,23.46,506300.0,23.377,193
2004-10-18 14:00:00,23.46,23.5,23.4,23.45,259200.0,23.462,310
2004-10-18 15:00:00,23.45,23.57,23.35,23.54,619900.0,23.466,275
2004-10-18 16:00:00,23.53,23.69,23.5,23.56,448500.0,23.559,223
2004-10-18 17:00:00,23.55,23.62,23.47,23.5,436400.0,23.566,239
2004-10-18 18:00:00,23.5,23.62,23.45,23.61,822100.0,23.487,244
2004-10-18 19:00:00,23.63,23.64,23.51,23.62,417000.0,23.585,348
2004-10-19 13:30:00,24.04,24.19,23.84,23.92,617100.0,23.99,262
2004-10-19 14:00:00,23.92,23.92,23.56,23.65,548000.0,23.732,400
2004-10-19 15:00:00,23.6,23.89,23.51,23.82,499800.0,23.716,354
2004-10-19 16:00:00,23.82,24.03,23.82,23.97,807200.0,23.946,317
2004-10-19 17:00:00,23.96,23.97,23.89,23.94,445400.0,23.936,327
2004-10-19 18:00:00,23.92,24.11,23.85,24.11,747300.0,23.976,331
2004-10-19 19:00:00,24.11,24.19,23.95,23.98,749400.0,24.086,449
2004-10-20 13:30:00,24.04,24.15,23.95,23.96,235200.0,24.046,215
2004-10-20 14:00:00,23.96,23.98,23.82,23.92,530500.0,23.889,279
2004-10-20 15:00:00,23.94,23.96,23.8,23.85,487000.0,23.911,281
2004-10-20 16:00:00,23.85,23.99,23.85,23.98,584400.0,23.926,222
2004-10-20 17:00:00,23.98,24.01,23.9,24.0,469500.0,23.962,200
2004-10-20 18:00:00,24.0,24.14,24.0,24.13,217000.0,24.066,243
2004-10-20 19:00:00,24.13,24.26,24.0,24.2,907600.0,24.195,460
2004-10-21 13:30:00,24.13,24.19,24.0,24.01,96300.0,24.099,116
2004-10-21 14:00:00,24.01,24.23,23.8,24.2,422400.0,24.066,349
2004-10-21 15:00:00,24.2,24.34,24.15,24.3,245300.0,24.252,308
2004-10-21 16:00:00,24.3,24.31,24.15,24.15,185900.0,24.22,274
2004-10-21 17:00:00,24.15,24.21,24.1,24.12,171000.0,24.154,275
2004-10-21 18:00:00,24.11,24.38,24.11,24.34,300400.0,24.23,309
2004-10-21 19:00:00,24.35,24.44,24.22,24.27,341000.0,24.304,404
2004-10-22 13:30:00,24.07,24.09,23.93,24.0,281500.0,24.031,208
2004-10-22 14:00:00,24.02,24.12,23.85,23.89,455900.0,23.963,324
2004-10-22 15:00:00,23.89,23.9,23.75,23.83,386500.0,23.81,259
2004-10-22 16:00:00,23.82,24.0,23.77,23.92,420700.0,23.894,256
2004-10-22 17:00:00,23.91,23.93,23.87,23.88,262200.0,23.907,232
2004-10-22 18:00:00,23.9,23.91,23.69,23.69,411000.0,23.756,228
2004-10-22 19:00:00,23.7,23.86,23.6,23.82,578300.0,23.725,411
2004-10-25 13:30:00,23.63,23.75,23.35,23.4,224200.0,23.546,181
2004-10-25 14:00:00,23.4,23.65,23.4,23.6,427000.0,23.538,321
2004-10-25 15:00:00,23.6,23.77,23.6,23.75,325700.0,23.693,282
2004-10-25 16:00:00,23.76,23.95,23.7,23.7,519600.0,23.832,303
2004-10-25 17:00:00,23.71,23.9,23.7,23.7,219500.0,23.773,269
2004-10-25 18:00:00,23.7,23.79,23.65,23.76,370200.0,23.721,309
2004-10-25 19:00:00,23.76,23.81,23.64,23.73,689200.0,23.739,341
2004-10-26 13:30:00,23.61,23.65,23.36,23.46,233500.0,23.499,209
2004-10-26 14:00:00,23.45,23.66,23.42,23.58,390100.0,23.538,479
2004-10-26 15:00:00,23.58,23.68,23.56,23.66,219400.0,23.62,241
2004-10-26 16:00:00,23.66,23.79,23.65,23.77,260800.0,23.737,265
2004-10-26 17:00:00,23.78,23.79,23.68,23.75,167400.0,23.732,224
2004-10-26 18:00:00,23.73,23.79,23.72,23.78,188400.0,23.759,171
2004-10-26 19:00:00,23.79,23.95,23.77,23.94,351200.0,23.854,299
2004-10-27 13:30:00,23.91,24.05,23.85,24.04,93900.0,23.945,117
2004-10-27 14:00:00,24.04,24.25,23.99,24.1,163000.0,24.092,243
2004-10-27 15:00:00,24.07,24.48,24.05,24.41,478600.0,24.381,337
2004-10-27 16:00:00,24.42,24.45,24.38,24.42,359600.0,24.417,239
2004-10-27 17:00:00,24.42,24.57,24.41,24.53,610200.0,24.518,351
2004-10-27 18:00:00,24.54,24.57,24.5,24.52,333700.0,24.534,292
