date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,45.9,46.26,45.75,45.92,340000.0,45.952,1358
2004-08-24 14:00:00,45.92,45.97,45.32,45.41,241400.0,45.658,1203
2004-08-24 15:00:00,45.41,45.62,45.23,45.51,216600.0,45.472,1032
2004-08-24 16:00:00,45.5,45.69,45.41,45.66,102200.0,45.522,636
2004-08-24 17:00:00,45.67,45.83,45.61,45.73,128400.0,45.695,653
2004-08-24 18:00:00,45.73,45.75,45.5,45.5,117900.0,45.611,662
2004-08-24 19:00:00,45.51,45.74,45.44,45.73,178100.0,45.563,963
2004-08-25 13:30:00,45.83,45.97,45.71,45.81,239800.0,45.842,1013
2004-08-25 14:00:00,45.81,45.82,45.46,45.69,236600.0,45.651,1129
2004-08-25 15:00:00,45.69,45.76,45.52,45.64,99500.0,45.617,465
2004-08-25 16:00:00,45.62,46.25,45.62,46.14,126100.0,46.014,671
2004-08-25 17:00:00,46.13,46.35,46.13,46.25,134700.0,46.265,672
2004-08-25 18:00:00,46.25,46.39,46.23,46.34,106800.0,46.3,587
2004-08-25 19:00:00,46.31,46.4,46.18,46.3,298800.0,46.284,1027
2004-08-26 13:30:00,45.96,46.19,45.9,46.09,213100.0,46.031,875
2004-08-26 14:00:00,46.1,46.35,45.82,46.01,168500.0,46.067,854
2004-08-26 15:00:00,46.01,46.16,45.99,46.01,77900.0,46.038,403
2004-08-26 16:00:00,46.01,46.15,46.0,46.09,95900.0,46.076,422
2004-08-26 17:00:00,46.1,46.23,46.07,46.1,70200.0,46.121,403
2004-08-26 18:00:00,46.13,46.28,46.07,46.17,149600.0,46.171,706
2004-08-26 19:00:00,46.15,46.32,46.15,46.16,227000.0,46.25,977
2004-08-27 13:30:00,46.07,46.47,45.97,46.28,94100.0,46.272,482
2004-08-27 14:00:00,46.23,46.58,46.23,46.39,103100.0,46.475,558
2004-08-27 15:00:00,46.39,46.48,46.28,46.31,87800.0,46.384,474
2004-08-27 16:00:00,46.31,46.48,46.3,46.47,60000.0,46.368,293
2004-08-27 17:00:00,46.47,46.58,46.45,46.46,62100.0,46.507,284
2004-08-27 18:00:00,46.48,46.56,46.35,46.52,82000.0,46.478,437
2004-08-27 19:00:00,46.53,46.55,46.24,46.41,107700.0,46.433,585
2004-08-30 13:30:00,46.27,46.3,46.02,46.1,70100.0,46.095,355
2004-08-30 14:00:00,46.1,46.17,45.52,45.56,181100.0,45.882,1100
