date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,19.12,19.17,18.9,19.01,8293000.0,19.062,10608
2004-08-24 14:00:00,19.01,19.1,18.88,18.95,8332400.0,18.959,12960
2004-08-24 15:00:00,18.95,19.02,18.81,18.94,5876600.0,18.929,10592
2004-08-24 16:00:00,18.94,18.95,18.83,18.92,3725200.0,18.885,7016
2004-08-24 17:00:00,18.92,19.02,18.91,19.0,3954500.0,18.975,6928
2004-08-24 18:00:00,19.0,19.01,18.93,18.96,2755400.0,18.964,6078
2004-08-24 19:00:00,18.96,19.0,18.87,18.97,5957500.0,18.931,10080
2004-08-25 13:30:00,18.98,19.05,18.81,18.91,4806600.0,18.93,8251
2004-08-25 14:00:00,18.9,19.08,18.88,18.99,5565400.0,18.987,9754
2004-08-25 15:00:00,18.99,18.99,18.9,18.94,3177900.0,18.94,5770
2004-08-25 16:00:00,18.93,19.09,18.93,19.07,4578400.0,19.019,6719
2004-08-25 17:00:00,19.06,19.17,19.05,19.15,4287700.0,19.133,6921
2004-08-25 18:00:00,19.14,19.34,19.14,19.33,5394000.0,19.257,9090
2004-08-25 19:00:00,19.32,19.37,19.23,19.3,11825800.0,19.306,15400
2004-08-26 13:30:00,19.26,19.34,19.16,19.28,3509000.0,19.249,6526
2004-08-26 14:00:00,19.27,19.42,19.27,19.35,6036700.0,19.351,12285
2004-08-26 15:00:00,19.35,19.43,19.31,19.31,4841300.0,19.364,8189
2004-08-26 16:00:00,19.31,19.4,19.29,19.37,2579800.0,19.343,5013
2004-08-26 17:00:00,19.36,19.38,19.27,19.28,2998500.0,19.32,5303
2004-08-26 18:00:00,19.27,19.29,19.21,19.24,5156500.0,19.25,9150
2004-08-26 19:00:00,19.24,19.32,19.17,19.18,5470000.0,19.251,9525
2004-08-27 13:30:00,19.22,19.38,19.2,19.37,3038400.0,19.31,4916
2004-08-27 14:00:00,19.37,19.44,19.29,19.35,4845000.0,19.383,8692
2004-08-27 15:00:00,19.35,19.39,19.3,19.32,3209400.0,19.344,6508
2004-08-27 16:00:00,19.33,19.42,19.31,19.38,2721800.0,19.366,4059
2004-08-27 17:00:00,19.38,19.44,19.36,19.44,2000900.0,19.4,3218
