date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,88.15,88.37,87.9,88.31,243200.0,88.109,357
2004-08-24 14:00:00,88.3,88.36,87.67,87.8,539600.0,88.004,793
2004-08-24 15:00:00,87.81,87.95,87.63,87.63,218100.0,87.793,518
2004-08-24 16:00:00,87.64,87.78,87.48,87.61,475300.0,87.606,418
2004-08-24 17:00:00,87.6,87.87,87.46,87.86,291300.0,87.605,482
2004-08-24 18:00:00,87.87,87.89,87.61,87.79,173300.0,87.752,419
2004-08-24 19:00:00,87.77,87.83,87.48,87.59,382900.0,87.637,728
2004-08-25 13:30:00,87.78,88.15,87.56,88.13,240300.0,87.85,360
2004-08-25 14:00:00,88.06,88.1,87.6,87.73,381100.0,87.918,611
2004-08-25 15:00:00,87.68,87.92,87.61,87.84,127600.0,87.797,354
2004-08-25 16:00:00,87.85,88.66,87.8,88.56,424200.0,88.324,624
2004-08-25 17:00:00,88.56,89.33,88.5,89.27,633800.0,89.048,744
2004-08-25 18:00:00,89.27,90.06,89.25,90.02,1111400.0,89.822,1231
2004-08-25 19:00:00,90.01,90.25,89.88,90.03,1137700.0,90.056,1310
2004-08-26 13:30:00,89.93,90.47,89.76,90.43,516300.0,90.109,521
2004-08-26 14:00:00,90.43,90.44,89.82,89.94,596800.0,90.103,970
2004-08-26 15:00:00,89.94,90.1,89.85,89.94,209100.0,89.948,462
2004-08-26 16:00:00,89.91,90.47,89.77,90.35,252400.0,90.258,501
2004-08-26 17:00:00,90.36,90.6,90.3,90.39,238500.0,90.433,471
2004-08-26 18:00:00,90.39,90.93,90.34,90.78,377100.0,90.637,666
2004-08-26 19:00:00,90.78,91.57,90.77,91.08,1106700.0,91.18,1115
2004-08-27 13:30:00,91.12,91.2,90.57,90.69,223900.0,90.913,358
2004-08-27 14:00:00,90.66,90.92,90.55,90.6,385900.0,90.729,779
2004-08-27 15:00:00,90.6,90.68,90.52,90.54,240700.0,90.609,446
2004-08-27 16:00:00,90.54,90.54,90.17,90.26,196900.0,90.342,405
2004-08-27 17:00:00,90.25,90.53,90.2,90.38,131500.0,90.365,299
2004-08-27 18:00:00,90.38,90.63,90.36,90.41,110500.0,90.458,334
2004-08-27 19:00:00,90.41,90.54,90.25,90.47,287800.0,90.414,560
2004-08-30 13:30:00,90.23,90.35,89.77,89.82,190000.0,90.018,366
2004-08-30 14:00:00,89.82,89.82,89.3,89.31,414000.0,89.487,681
2004-08-30 15:00:00,89.25,89.85,89.24,89.71,204600.0,89.489,395
2004-08-30 16:00:00,89.76,89.76,89.21,89.26,160900.0,89.439,342
2004-08-30 17:00:00,89.28,89.34,89.2,89.27,142300.0,89.259,324
2004-08-30 18:00:00,89.29,89.33,89.17,89.17,178300.0,89.247,365
2004-08-30 19:00:00,89.17,89.27,89.01,89.05,473700.0,89.145,673
2004-08-31 13:30:00,89.56,89.66,89.37,89.42,165600.0,89.511,310
2004-08-31 14:00:00,89.47,89.47,88.64,88.71,313500.0,89.043,670
2004-08-31 15:00:00,88.71,88.9,88.55,88.63,220700.0,88.726,476
2004-08-31 16:00:00,88.62,88.89,88.46,88.77,240700.0,88.68,435
2004-08-31 17:00:00,88.77,89.17,88.64,89.11,170200.0,88.889,447
2004-08-31 18:00:00,89.11,89.65,88.97,89.61,465200.0,89.261,724
2004-08-31 19:00:00,89.58,89.81,89.45,89.67,458800.0,89.624,830
2004-09-01 13:30:00,89.85,89.9,89.2,89.29,233700.0,89.516,371
2004-09-01 14:00:00,89.22,90.5,89.22,89.81,440300.0,89.961,881
2004-09-01 15:00:00,89.82,90.16,89.44,89.5,221900.0,89.793,513
2004-09-01 16:00:00,89.55,89.78,89.41,89.52,149200.0,89.575,443
2004-09-01 17:00:00,89.53,89.71,88.95,89.57,299900.0,89.367,766
2004-09-01 18:00:00,89.58,89.62,89.27,89.5,112600.0,89.481,357
2004-09-01 19:00:00,89.53,89.57,89.11,89.21,343300.0,89.275,793
2004-09-02 13:30:00,89.2,89.4,88.91,88.93,220700.0,89.092,376
2004-09-02 14:00:00,88.91,89.49,88.89,89.26,305400.0,89.246,644
2004-09-02 15:00:00,89.3,89.35,89.2,89.31,170100.0,89.269,335
2004-09-02 16:00:00,89.29,89.42,89.21,89.38,149700.0,89.324,268
2004-09-02 17:00:00,89.37,89.87,89.35,89.86,167400.0,89.635,342
2004-09-02 18:00:00,89.86,90.8,89.81,90.76,528900.0,90.381,909
2004-09-02 19:00:00,90.73,91.3,90.66,91.07,703100.0,90.98,1063
2004-09-03 13:30:00,91.06,91.72,90.9,90.92,372700.0,91.293,600
2004-09-03 14:00:00,90.96,90.96,90.19,90.45,329800.0,90.523,774
2004-09-03 15:00:00,90.43,90.57,90.15,90.3,172800.0,90.349,441
2004-09-03 16:00:00,90.3,90.57,90.2,90.35,119100.0,90.34,321
2004-09-03 17:00:00,90.34,90.48,90.18,90.34,98600.0,90.299,287
2004-09-03 18:00:00,90.34,90.36,90.02,90.11,107800.0,90.163,384
2004-09-03 19:00:00,90.07,90.23,90.0,90.19,375700.0,90.123,570
2004-09-07 13:30:00,91.2,91.6,91.14,91.45,535700.0,91.425,682
2004-09-07 14:00:00,91.45,91.7,91.06,91.36,556800.0,91.395,998
2004-09-07 15:00:00,91.36,91.95,91.31,91.93,358700.0,91.581,631
2004-09-07 16:00:00,91.95,92.7,91.94,92.66,562600.0,92.326,908
2004-09-07 17:00:00,92.66,92.78,92.36,92.36,435500.0,92.671,958
2004-09-07 18:00:00,92.36,92.64,91.95,92.1,569000.0,92.228,1196
2004-09-07 19:00:00,92.11,92.28,91.95,92.2,806300.0,92.09,1279
2004-09-08 13:30:00,92.29,92.45,91.85,92.25,368800.0,92.142,490
2004-09-08 14:00:00,92.24,92.55,91.78,91.87,623800.0,92.193,1222
