date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,26.6,26.97,26.6,26.97,283200.0,26.798,321
2004-08-24 14:00:00,26.96,27.03,26.92,27.01,405200.0,26.976,548
2004-08-24 15:00:00,27.01,27.04,26.83,26.84,276500.0,26.94,468
2004-08-24 16:00:00,26.84,26.93,26.77,26.92,312800.0,26.873,310
2004-08-24 17:00:00,26.92,27.04,26.91,27.01,168600.0,26.977,284
2004-08-24 18:00:00,27.0,27.01,26.91,26.92,132800.0,26.942,338
2004-08-24 19:00:00,26.92,26.92,26.79,26.88,501800.0,26.867,602
2004-08-25 13:30:00,26.84,26.87,26.58,26.62,263200.0,26.691,290
2004-08-25 14:00:00,26.62,26.75,26.56,26.7,447000.0,26.655,555
2004-08-25 15:00:00,26.71,26.77,26.68,26.7,311700.0,26.72,376
2004-08-25 16:00:00,26.69,26.84,26.69,26.8,318200.0,26.784,455
2004-08-25 17:00:00,26.81,26.95,26.79,26.94,354900.0,26.89,459
2004-08-25 18:00:00,26.94,27.0,26.92,26.95,555000.0,26.969,530
2004-08-25 19:00:00,26.95,27.0,26.9,26.98,526900.0,26.957,673
2004-08-26 13:30:00,27.0,27.19,26.95,27.15,366700.0,27.052,309
2004-08-26 14:00:00,27.16,27.24,27.09,27.24,465500.0,27.169,518
2004-08-26 15:00:00,27.24,27.27,27.16,27.23,348000.0,27.228,421
2004-08-26 16:00:00,27.23,27.29,27.21,27.26,283900.0,27.247,331
2004-08-26 17:00:00,27.25,27.26,27.16,27.18,233800.0,27.221,374
2004-08-26 18:00:00,27.17,27.2,27.11,27.12,254100.0,27.148,397
2004-08-26 19:00:00,27.12,27.17,27.11,27.13,282100.0,27.138,538
2004-08-27 13:30:00,27.07,27.13,26.98,27.04,179100.0,27.059,270
2004-08-27 14:00:00,27.03,27.18,27.03,27.17,283700.0,27.081,445
2004-08-27 15:00:00,27.16,27.28,27.16,27.17,326400.0,27.235,339
2004-08-27 16:00:00,27.17,27.17,27.07,27.09,95200.0,27.103,228
2004-08-27 17:00:00,27.08,27.16,27.08,27.11,142200.0,27.127,266
2004-08-27 18:00:00,27.12,27.23,27.08,27.22,228200.0,27.173,378
2004-08-27 19:00:00,27.22,27.26,27.12,27.2,477100.0,27.218,525
2004-08-30 13:30:00,27.05,27.22,27.01,27.2,153900.0,27.114,229
2004-08-30 14:00:00,27.2,27.24,27.09,27.1,137700.0,27.181,337
2004-08-30 15:00:00,27.1,27.35,27.1,27.33,273400.0,27.248,445
2004-08-30 16:00:00,27.34,27.36,27.25,27.26,122500.0,27.302,255
2004-08-30 17:00:00,27.25,27.26,27.07,27.13,227300.0,27.148,320
2004-08-30 18:00:00,27.12,27.15,27.04,27.09,162500.0,27.106,343
2004-08-30 19:00:00,27.08,27.13,27.01,27.02,315000.0,27.082,562
2004-08-31 13:30:00,27.0,27.09,26.93,26.99,281200.0,26.992,335
2004-08-31 14:00:00,26.98,26.99,26.86,26.92,325600.0,26.926,390
2004-08-31 15:00:00,26.93,27.0,26.88,26.94,322600.0,26.957,359
2004-08-31 16:00:00,26.94,26.94,26.86,26.89,141400.0,26.903,271
2004-08-31 17:00:00,26.89,26.9,26.77,26.79,211400.0,26.838,358
2004-08-31 18:00:00,26.8,26.98,26.66,26.97,395500.0,26.775,539
2004-08-31 19:00:00,26.97,27.0,26.84,27.0,493900.0,26.939,648
2004-09-01 13:30:00,27.03,27.78,27.01,27.09,204600.0,27.061,271
2004-09-01 14:00:00,27.06,27.24,27.06,27.19,306500.0,27.154,496
2004-09-01 15:00:00,27.2,27.2,27.04,27.12,132900.0,27.119,338
2004-09-01 16:00:00,27.12,27.21,27.08,27.13,171200.0,27.143,365
2004-09-01 17:00:00,27.13,27.15,26.86,27.02,375300.0,27.018,590
2004-09-01 18:00:00,27.03,27.11,26.97,27.11,436300.0,27.028,505
2004-09-01 19:00:00,27.1,27.21,27.09,27.18,517800.0,27.143,618
2004-09-02 13:30:00,27.18,27.43,27.18,27.41,216800.0,27.301,259
2004-09-02 14:00:00,27.42,27.46,27.35,27.36,295000.0,27.412,460
2004-09-02 15:00:00,27.36,27.38,27.02,27.04,357400.0,27.243,441
2004-09-02 16:00:00,27.03,27.09,27.01,27.02,191200.0,27.04,260
2004-09-02 17:00:00,27.03,27.23,27.01,27.19,486500.0,27.107,313
2004-09-02 18:00:00,27.18,27.49,27.17,27.49,428800.0,27.332,619
2004-09-02 19:00:00,27.48,27.53,27.42,27.49,672400.0,27.475,806
2004-09-03 13:30:00,27.4,27.69,27.4,27.64,287200.0,27.53,370
2004-09-03 14:00:00,27.65,27.9,27.63,27.86,518100.0,27.8,671
2004-09-03 15:00:00,27.86,27.87,27.72,27.86,328200.0,27.808,551
2004-09-03 16:00:00,27.86,27.87,27.8,27.82,156200.0,27.839,301
2004-09-03 17:00:00,27.81,27.83,27.77,27.82,194500.0,27.797,290
2004-09-03 18:00:00,27.81,27.85,27.71,27.79,237300.0,27.782,371
2004-09-03 19:00:00,27.79,27.87,27.75,27.78,510300.0,27.806,622
2004-09-07 13:30:00,27.74,27.77,27.27,27.28,805700.0,27.462,469
2004-09-07 14:00:00,27.28,27.73,27.1,27.23,898400.0,27.18,783
2004-09-07 15:00:00,27.23,27.31,27.2,27.3,368800.0,27.247,531
2004-09-07 16:00:00,27.3,27.48,27.29,27.44,465100.0,27.351,494
2004-09-07 17:00:00,27.45,27.58,27.44,27.47,477400.0,27.518,549
2004-09-07 18:00:00,27.46,27.51,27.26,27.35,533600.0,27.359,765
2004-09-07 19:00:00,27.35,27.4,27.31,27.4,772400.0,27.372,832
2004-09-08 13:30:00,27.85,27.94,27.64,27.91,901200.0,27.87,583
2004-09-08 14:00:00,27.9,27.98,27.8,27.84,877700.0,27.905,877
2004-09-08 15:00:00,27.84,27.92,27.8,27.9,701200.0,27.871,539
2004-09-08 16:00:00,27.9,27.91,27.7,27.7,531000.0,27.807,467
2004-09-08 17:00:00,27.7,27.75,27.62,27.69,450700.0,27.698,440
2004-09-08 18:00:00,27.69,27.76,27.57,27.57,408200.0,27.659,504
2004-09-08 19:00:00,27.57,27.65,27.48,27.5,902300.0,27.547,638
2004-09-09 13:30:00,27.75,27.89,26.87,27.85,564300.0,27.786,394
2004-09-09 14:00:00,27.84,27.92,27.75,27.77,778700.0,27.841,547
2004-09-09 15:00:00,27.77,27.77,27.58,27.61,562400.0,27.677,476
2004-09-09 16:00:00,27.61,27.7,27.6,27.67,361400.0,27.652,414
2004-09-09 17:00:00,27.67,27.71,27.59,27.59,550700.0,27.642,456
2004-09-09 18:00:00,27.59,27.61,27.53,27.59,482500.0,27.571,572
2004-09-09 19:00:00,27.6,27.6,27.37,27.44,1211200.0,27.446,904
