date,open,high,low,close,volume,average,barCount
2004-08-24 13:30:00,54.7,55.0,54.66,55.0,434400.0,54.835,422
2004-08-24 14:00:00,54.99,55.02,54.9,54.92,492800.0,54.962,841
2004-08-24 15:00:00,54.92,54.96,54.85,54.96,417500.0,54.914,712
2004-08-24 16:00:00,54.96,55.0,54.83,54.93,350900.0,54.937,563
2004-08-24 17:00:00,54.94,55.0,54.9,54.93,413600.0,54.945,508
2004-08-24 18:00:00,54.93,54.97,54.86,54.93,365000.0,54.918,633
2004-08-24 19:00:00,54.94,54.97,54.85,54.96,828900.0,54.932,870
2004-08-25 13:30:00,54.95,55.0,54.83,54.96,257000.0,54.928,422
2004-08-25 14:00:00,54.95,55.0,54.77,54.94,477900.0,54.873,892
2004-08-25 15:00:00,54.94,55.0,54.9,54.97,298800.0,54.962,593
2004-08-25 16:00:00,54.97,55.16,54.97,55.09,540400.0,55.061,732
2004-08-25 17:00:00,55.08,55.2,55.07,55.2,439600.0,55.134,683
2004-08-25 18:00:00,55.19,55.39,55.18,55.28,643600.0,55.306,858
2004-08-25 19:00:00,55.29,55.43,55.23,55.27,695600.0,55.305,1055
2004-08-26 13:30:00,55.5,55.74,55.33,55.58,419500.0,55.546,539
2004-08-26 14:00:00,55.58,55.7,55.48,55.67,411400.0,55.625,804
2004-08-26 15:00:00,55.67,55.75,55.65,55.72,331200.0,55.706,708
2004-08-26 16:00:00,55.72,55.74,55.59,55.67,347700.0,55.662,595
2004-08-26 17:00:00,55.67,55.71,55.6,55.62,348700.0,55.662,517
2004-08-26 18:00:00,55.63,55.74,55.54,55.58,369700.0,55.644,650
2004-08-26 19:00:00,55.58,55.8,55.57,55.71,818100.0,55.714,844
2004-08-27 13:30:00,55.6,55.7,55.55,55.58,317000.0,55.606,444
2004-08-27 14:00:00,55.59,55.71,55.5,55.61,488700.0,55.584,655
2004-08-27 15:00:00,55.6,55.76,55.6,55.66,477600.0,55.655,578
2004-08-27 16:00:00,55.66,55.81,55.64,55.81,274400.0,55.726,469
2004-08-27 17:00:00,55.8,55.94,55.8,55.92,325300.0,55.85,545
2004-08-27 18:00:00,55.92,55.99,55.88,55.97,666600.0,55.955,763
2004-08-27 19:00:00,55.97,56.0,55.9,55.99,703500.0,55.957,846
2004-08-30 13:30:00,55.7,55.99,55.7,55.94,248600.0,55.823,368
2004-08-30 14:00:00,55.92,56.07,55.88,56.04,550800.0,55.978,836
2004-08-30 15:00:00,56.04,56.09,55.91,55.99,286600.0,56.026,676
2004-08-30 16:00:00,55.99,56.05,55.89,55.92,217000.0,55.964,556
2004-08-30 17:00:00,55.93,55.94,55.79,55.91,342600.0,55.835,608
2004-08-30 18:00:00,55.89,55.91,55.7,55.7,259200.0,55.827,641
2004-08-30 19:00:00,55.7,55.73,55.5,55.53,632300.0,55.621,992
2004-08-31 13:30:00,55.5,55.82,55.49,55.65,271100.0,55.618,358
2004-08-31 14:00:00,55.6,55.74,55.53,55.6,275100.0,55.648,608
2004-08-31 15:00:00,55.6,55.6,55.4,55.46,244300.0,55.503,553
2004-08-31 16:00:00,55.46,55.63,55.44,55.47,202200.0,55.539,565
2004-08-31 17:00:00,55.46,55.49,55.26,55.29,291100.0,55.347,575
2004-08-31 18:00:00,55.29,55.77,55.22,55.75,489500.0,55.502,771
2004-08-31 19:00:00,55.75,55.97,55.55,55.96,884900.0,55.807,1225
2004-09-01 13:30:00,55.97,56.03,55.77,55.83,398000.0,55.936,498
2004-09-01 14:00:00,55.83,56.08,55.82,55.92,551000.0,55.971,844
2004-09-01 15:00:00,55.92,56.03,55.71,55.73,333400.0,55.878,689
2004-09-01 16:00:00,55.73,55.87,55.6,55.85,357400.0,55.729,647
2004-09-01 17:00:00,55.84,55.94,55.49,55.87,660500.0,55.782,885
2004-09-01 18:00:00,55.86,56.05,55.79,56.05,453600.0,55.973,766
2004-09-01 19:00:00,56.04,56.21,55.98,56.18,919700.0,56.108,1153
2004-09-02 13:30:00,56.17,56.22,56.01,56.11,244400.0,56.119,400
2004-09-02 14:00:00,56.11,56.17,56.03,56.08,260900.0,56.098,611
2004-09-02 15:00:00,56.08,56.1,55.89,56.0,253700.0,56.013,489
2004-09-02 16:00:00,56.0,56.07,55.99,56.01,151800.0,56.032,367
2004-09-02 17:00:00,56.01,56.05,55.9,55.95,158500.0,55.958,423
2004-09-02 18:00:00,55.96,56.3,55.94,56.3,390300.0,56.129,690
2004-09-02 19:00:00,56.32,56.54,56.26,56.52,1035700.0,56.411,1310
2004-09-03 13:30:00,56.6,56.9,56.49,56.72,413200.0,56.735,560
2004-09-03 14:00:00,56.71,56.76,56.58,56.66,686800.0,56.705,1003
2004-09-03 15:00:00,56.67,56.71,56.53,56.68,513000.0,56.639,705
2004-09-03 16:00:00,56.69,56.83,56.66,56.81,518800.0,56.73,639
2004-09-03 17:00:00,56.82,56.86,56.77,56.83,214500.0,56.818,453
2004-09-03 18:00:00,56.84,56.86,56.72,56.75,338900.0,56.791,584
2004-09-03 19:00:00,56.76,56.8,56.51,56.59,530300.0,56.68,900
2004-09-07 13:30:00,56.35,56.85,56.35,56.75,592600.0,56.596,612
2004-09-07 14:00:00,56.74,56.85,56.57,56.65,603600.0,56.717,993
2004-09-07 15:00:00,56.66,56.9,56.64,56.77,401400.0,56.802,685
2004-09-07 16:00:00,56.76,56.88,56.57,56.8,367700.0,56.728,653
2004-09-07 17:00:00,56.82,56.88,55.74,56.53,405100.0,56.686,607
2004-09-07 18:00:00,56.53,56.55,56.31,56.44,452700.0,56.452,875
2004-09-07 19:00:00,56.45,56.75,56.39,56.69,620200.0,56.549,1098
2004-09-08 13:30:00,56.55,56.56,56.2,56.25,481300.0,56.434,648
2004-09-08 14:00:00,56.25,56.66,56.23,56.45,815500.0,56.476,1087
2004-09-08 15:00:00,56.45,56.6,56.39,56.51,708600.0,56.505,805
2004-09-08 16:00:00,56.51,56.6,56.48,56.55,534000.0,56.538,709
2004-09-08 17:00:00,56.55,56.71,56.52,56.68,400500.0,56.61,705
2004-09-08 18:00:00,56.69,56.86,56.66,56.73,509800.0,56.758,982
2004-09-08 19:00:00,56.73,56.9,56.62,56.74,630100.0,56.781,1153
2004-09-09 13:30:00,56.61,56.67,56.42,56.46,565500.0,56.513,768
2004-09-09 14:00:00,56.46,56.63,56.36,56.4,543400.0,56.481,1062
2004-09-09 15:00:00,56.39,56.4,55.93,56.07,831000.0,56.121,1307
2004-09-09 16:00:00,56.07,56.33,56.06,56.25,626400.0,56.196,1022
2004-09-09 17:00:00,56.26,56.34,56.03,56.15,536700.0,56.213,1081
2004-09-09 18:00:00,56.15,56.36,56.08,56.31,809500.0,56.201,1244
2004-09-09 19:00:00,56.31,56.34,55.93,55.97,1148900.0,56.138,1447
2004-09-10 13:30:00,56.05,56.05,55.84,55.84,404100.0,55.955,496
2004-09-10 14:00:00,55.85,56.0,55.62,55.88,787600.0,55.891,947
2004-09-10 15:00:00,55.88,55.99,55.84,55.93,359200.0,55.915,717
2004-09-10 16:00:00,55.93,55.95,55.81,55.88,402000.0,55.88,492
2004-09-10 17:00:00,55.89,55.9,55.76,55.77,290400.0,55.87,554
2004-09-10 18:00:00,55.77,56.07,55.76,56.01,563800.0,55.924,713
2004-09-10 19:00:00,56.0,56.22,56.0,56.2,665000.0,56.127,950
2004-09-13 13:30:00,56.19,56.24,55.7,55.97,339000.0,55.982,515
2004-09-13 14:00:00,55.97,56.13,55.8,56.02,491500.0,55.967,736
2004-09-13 15:00:00,56.03,56.08,55.93,55.99,366900.0,55.994,672
2004-09-13 16:00:00,55.99,56.19,55.99,56.18,452300.0,56.112,730
2004-09-13 17:00:00,56.18,56.34,56.15,56.28,465600.0,56.245,740
2004-09-13 18:00:00,56.27,56.34,56.15,56.15,644300.0,56.276,726
2004-09-13 19:00:00,56.15,56.32,56.07,56.26,848500.0,56.205,968
2004-09-14 13:30:00,56.48,56.5,56.35,56.39,414800.0,56.458,511
2004-09-14 14:00:00,56.39,56.48,56.21,56.32,640900.0,56.341,831
2004-09-14 15:00:00,56.31,56.59,56.31,56.55,525500.0,56.464,733
2004-09-14 16:00:00,56.54,56.81,56.54,56.81,453800.0,56.705,656
2004-09-14 17:00:00,56.81,56.86,56.7,56.79,318400.0,56.786,613
2004-09-14 18:00:00,56.78,56.85,56.7,56.78,459900.0,56.778,662
2004-09-14 19:00:00,56.78,56.8,56.52,56.65,970900.0,56.669,928
2004-09-15 13:30:00,56.55,56.68,56.53,56.62,506600.0,56.599,411
2004-09-15 14:00:00,56.62,56.73,56.52,56.56,611700.0,56.626,809
2004-09-15 15:00:00,56.55,56.64,56.46,56.53,428000.0,56.54,626
2004-09-15 16:00:00,56.52,56.55,56.38,56.5,369100.0,56.475,509
2004-09-15 17:00:00,56.5,56.51,56.41,56.49,389900.0,56.461,432
2004-09-15 18:00:00,56.49,56.5,56.38,56.44,438100.0,56.431,628
2004-09-15 19:00:00,56.44,56.47,56.3,56.31,597200.0,56.37,814
2004-09-16 13:30:00,55.85,56.04,55.72,55.78,642200.0,55.876,685
2004-09-16 14:00:00,55.77,55.91,55.68,55.88,830500.0,55.828,884
2004-09-16 15:00:00,55.86,56.04,55.83,55.88,515400.0,55.922,639
2004-09-16 16:00:00,55.89,55.89,55.72,55.8,334700.0,55.785,585
2004-09-16 17:00:00,55.8,55.94,55.79,55.9,265900.0,55.842,443
2004-09-16 18:00:00,55.9,56.0,55.88,55.94,381100.0,55.939,571
2004-09-16 19:00:00,55.95,55.96,55.78,55.93,596300.0,55.882,838
2004-09-17 13:30:00,56.19,56.23,55.86,56.13,1823900.0,56.165,459
2004-09-17 14:00:00,56.13,56.7,56.08,56.62,796200.0,56.387,959
